year	doy	hour	solar	netsolar	dw_solar	up_solar	temp	rh	windspeed	precip	day_length
2002	202	0	0.46	0	0	0	24.645	0.8978	2.23	0	14.7422284794048
2002	202	1	0.805	0	0	0	23.82	0.9245	2.615	0	14.7424293684097
2002	202	2	0.92	0	0	0	23.4	0.92895	2.72	0	14.7426288238467
2002	202	3	0.92	0	0	0	23.205	0.9244	2.735	0	14.7428002026838
2002	202	4	6.877	2.315	0.84	0.42	23.2	0.91515	2.27	0	14.7430911118509
2002	202	5	125.948	46.835	54.165	13.935	23.245	0.9215	2.18	0	14.7464440700248
2002	202	6	430.652	160.86	199.765	44.68	24.66	0.9059	2.44	0	14.7442754275765
2002	202	7	709.274	269.55	342.255	70.52	27.21	0.82055	2.88	0	14.7442285189777
2002	202	8	1117.961	426.205	536.66	102.135	28.94	0.77385	2.565	0	14.7442279565272
2002	202	9	1530.282	595.035	743.495	131.135	30.38	0.73105	3.015	0	14.7442279250828
2002	202	10	1744.527	686.21	856.295	145.255	31.63	0.68005	3.745	0	14.7442278119926
2002	202	11	1679.414	664.055	825.78	138.95	32.67	0.6314	3.055	0	14.7442278480961
2002	202	12	1559.676	611.595	764.18	131.46	33.345	0.58965	3.28	0	14.7442279596456
2002	202	13	1000.638	388.34	483.94	86.34	33.335	0.5647	3.365	0	14.744228311706
2002	202	14	204.769	73.575	90.325	18.605	27.8	0.659	5.315	0	14.7442278300767
2002	202	15	237.36	90.315	109.355	21.005	27.57	0.7212	1.96	0	14.7442278484996
2002	202	16	265.443	100.745	123.365	24.26	27.335	0.7777	1.37	0	14.7442278381542
2002	202	17	227.976	86.37	103.235	21.43	28.1	0.79275	0.87	0	14.7442278087634
2002	202	18	211.623	81.295	99.865	26.54	28.515	0.7954	1.31	0	14.7442276990354
2002	202	19	25.139	13.07	15.425	5.58	27.85	0.7721	3.025	0	14.7438230506789
2002	202	20	0.138	0	0	0.835	25.495	0.79965	5.08	0	14.7668128383841
2002	202	21	0.46	0	0	0.025	24.135	0.90875	2.235	0	14.7681622283616
2002	202	22	0.46	0	0	0	24.55	0.8839	2.445	0	14.7683471254672
2002	202	23	0.552	0	0	0	24.635	0.8824	3.055	0	14.7685343265197
